"","UnitID","Set","Alt","X_1","X_2","X_3","X_4","X_5","X_6","y"
"1",189523033,1,1,0,0,0,0,1,35000,2
"2",189523033,1,2,1,1,1,1,0,55000,0
"3",189523033,2,1,1,1,0,0,0,50000,1
"4",189523033,2,2,0,1,1,1,1,30000,0
"5",189523033,3,1,0,1,0,0,0,40000,2
"6",189523033,3,2,1,0,1,1,1,60000,0
"7",189523033,4,1,0,1,1,1,1,25000,2
"8",189523033,4,2,1,0,0,0,0,60000,0
"9",189523033,5,1,0,1,0,0,0,50000,1
"10",189523033,5,2,1,0,0,1,1,25000,0
"11",189523033,6,1,1,1,0,0,1,30000,2
"12",189523033,6,2,0,0,1,1,0,55000,0
"13",189523033,7,1,1,1,0,1,1,45000,1
"14",189523033,7,2,0,0,1,0,0,20000,0
"15",189523033,8,1,1,0,1,0,1,50000,2
"16",189523033,8,2,0,1,0,1,0,60000,0
"17",189523033,9,1,0,0,0,0,0,30000,2
"18",189523033,9,2,1,0,1,1,1,40000,0
"19",189523033,10,1,0,1,1,0,0,60000,1
"20",189523033,10,2,1,0,0,1,1,40000,0
"21",189523033,11,1,0,0,0,1,1,45000,2
"22",189523033,11,2,1,1,1,0,1,55000,0
"23",189523033,12,1,0,1,0,1,1,20000,2
"24",189523033,12,2,1,0,1,0,0,35000,0
"25",189523063,1,1,0,0,1,0,1,35000,2
"26",189523063,1,2,1,1,0,1,0,60000,0
"27",189523063,2,1,0,1,0,1,1,40000,1
"28",189523063,2,2,1,0,1,1,0,20000,0
"29",189523063,3,1,1,0,0,1,0,35000,2
"30",189523063,3,2,0,1,1,0,1,55000,0
"31",189523063,4,1,0,1,0,1,1,45000,1
"32",189523063,4,2,1,0,1,0,0,40000,0
"33",189523063,5,1,0,0,1,1,0,25000,1
"34",189523063,5,2,1,1,0,0,1,30000,0
"35",189523063,6,1,0,0,0,1,0,50000,1
"36",189523063,6,2,1,1,1,0,1,45000,0
"37",189523063,7,1,0,0,1,1,1,55000,2
"38",189523063,7,2,1,1,0,0,0,50000,0
"39",189523063,8,1,1,1,0,1,1,60000,2
"40",189523063,8,2,0,0,1,0,0,30000,0
"41",189523063,9,1,1,1,1,1,0,25000,2
"42",189523063,9,2,0,0,0,0,1,50000,0
"43",189523063,10,1,1,1,1,1,1,60000,2
"44",189523063,10,2,0,0,0,0,0,55000,0
"45",189523063,11,1,1,0,0,0,1,45000,2
"46",189523063,11,2,0,1,0,1,0,20000,0
"47",189523063,12,1,1,0,0,1,1,50000,1
"48",189523063,12,2,0,1,1,0,1,20000,0
"49",189523123,1,1,1,0,0,0,0,40000,1
"50",189523123,1,2,0,1,1,1,1,20000,0
"51",189523123,2,1,1,0,1,1,1,45000,2
"52",189523123,2,2,0,1,0,0,0,55000,0
"53",189523123,3,1,1,1,1,1,0,30000,2
"54",189523123,3,2,0,0,0,0,1,50000,0
"55",189523123,4,1,1,0,0,1,1,30000,1
"56",189523123,4,2,0,1,1,0,0,25000,0
"57",189523123,5,1,0,1,1,0,1,50000,2
"58",189523123,5,2,1,0,0,1,0,55000,0
"59",189523123,6,1,0,1,0,1,1,35000,1
"60",189523123,6,2,1,0,1,0,0,45000,0
"61",189523123,7,1,1,0,0,1,1,30000,1
"62",189523123,7,2,0,1,1,0,1,25000,0
"63",189523123,8,1,1,1,0,0,0,40000,1
"64",189523123,8,2,1,0,1,0,0,55000,0
"65",189523123,9,1,0,0,0,1,0,55000,1
"66",189523123,9,2,1,1,0,0,1,35000,0
"67",189523123,10,1,0,0,1,1,1,30000,2
"68",189523123,10,2,0,1,0,0,0,40000,0
"69",189523123,11,1,1,1,0,0,1,60000,1
"70",189523123,11,2,0,0,1,1,0,35000,0
"71",189523123,12,1,0,0,0,0,1,25000,1
"72",189523123,12,2,1,1,1,1,0,60000,0
"73",189523142,1,1,1,1,0,0,1,25000,2
"74",189523142,1,2,0,0,1,1,0,45000,0
"75",189523142,2,1,0,1,1,1,1,50000,1
"76",189523142,2,2,1,0,0,0,0,30000,0
"77",189523142,3,1,0,0,0,0,1,55000,1
"78",189523142,3,2,1,1,1,1,0,60000,0
"79",189523142,4,1,1,0,1,0,0,55000,1
"80",189523142,4,2,0,1,0,0,1,40000,0
"81",189523142,5,1,0,1,0,1,1,25000,1
"82",189523142,5,2,1,0,0,0,0,20000,0
"83",189523142,6,1,0,0,1,1,1,50000,2
"84",189523142,6,2,1,1,1,0,0,60000,0
"85",189523142,7,1,1,0,0,1,0,45000,1
